"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
1,"29/12/2013","4/1/2014",1,3,13,19,9,20,6,8,4,10,0,1,34,29,2,21,8,1,4,0,11,0,3,2,4,1,2,2,5,33,0,2,16,10
2,"5/1/2014","11/1/2014",1,5,10,12,7,26,9,8,4,12,0,4,44,18,4,17,9,1,4,0,5,1,9,5,5,0,0,4,5,20,0,0,12,12
3,"12/1/2014","18/1/2014",1,5,13,7,7,23,4,7,9,8,0,2,27,19,2,12,7,0,1,0,4,0,4,3,3,0,0,3,8,10,0,0,3,12
4,"19/1/2014","25/1/2014",1,1,8,10,7,18,5,6,4,12,0,4,21,20,1,10,5,0,2,0,1,3,3,2,1,1,4,3,1,11,0,0,4,17
5,"26/1/2014","1/2/2014",0,1,8,11,4,19,0,3,4,7,0,4,16,26,4,10,3,0,5,0,2,1,2,2,2,0,2,1,5,7,0,0,5,10
6,"2/2/2014","8/2/2014",1,4,8,5,10,30,7,5,2,18,0,3,24,25,2,21,4,0,2,1,3,0,4,3,0,0,0,5,10,17,0,1,8,16
7,"9/2/2014","15/2/2014",0,4,5,7,8,17,2,4,2,10,0,4,14,13,3,15,3,0,2,0,2,0,3,1,4,0,0,2,16,12,0,0,9,12
8,"16/2/2014","22/2/2014",1,0,6,6,6,13,5,2,3,5,0,3,8,14,2,10,1,1,2,1,2,1,1,2,2,1,1,2,11,6,0,1,7,4
9,"23/2/2014","1/3/2014",0,0,7,5,3,17,6,4,2,4,0,1,11,11,2,4,2,0,3,0,2,1,0,3,3,0,0,1,8,12,0,0,8,6
10,"2/3/2014","8/3/2014",0,1,4,3,3,16,5,1,0,2,0,3,11,38,3,7,5,0,1,0,2,0,3,2,0,0,0,0,10,13,0,1,6,9
11,"9/3/2014","15/3/2014",1,0,4,6,4,12,2,2,2,2,0,2,14,80,0,6,2,0,0,0,1,0,3,3,3,0,0,0,8,9,0,0,8,7
12,"16/3/2014","22/3/2014",0,1,5,2,4,9,2,3,1,2,0,1,19,21,0,4,1,0,2,0,5,0,0,0,2,0,0,0,8,9,0,0,6,5
13,"23/3/2014","29/3/2014",2,2,4,4,0,16,1,4,1,2,0,0,21,53,0,4,2,0,5,0,0,0,4,2,3,1,1,1,14,15,0,1,6,3
14,"30/3/2014","5/4/2014",1,1,3,3,2,13,1,3,1,4,0,1,16,15,0,9,0,1,2,0,0,1,2,2,0,0,0,0,31,18,0,1,8,4
15,"6/4/2014","12/4/2014",1,0,7,0,4,10,1,3,0,5,0,0,11,49,0,6,4,0,4,0,0,3,2,1,0,0,0,2,32,19,0,0,5,2
16,"13/4/2014","19/4/2014",0,4,2,2,3,14,3,2,1,9,0,1,19,33,0,11,2,0,4,0,0,0,3,0,1,1,0,1,22,27,0,0,9,2
17,"20/4/2014","26/4/2014",0,2,5,3,0,10,2,4,0,17,0,1,7,29,0,11,5,0,5,0,1,1,3,2,1,1,0,3,8,14,0,0,5,4
18,"27/4/2014","3/5/2014",0,3,4,1,4,17,1,2,3,14,0,2,21,22,0,4,3,0,1,0,2,1,3,2,1,1,4,0,1,16,0,0,5,4
19,"4/5/2014","10/5/2014",0,0,1,3,6,11,6,0,1,16,0,0,13,35,1,22,4,0,1,0,4,0,2,4,1,0,0,1,6,23,0,1,8,3
20,"11/5/2014","17/5/2014",0,2,7,4,6,21,4,2,0,22,0,3,12,50,1,13,5,0,2,0,2,0,2,0,3,1,1,0,4,20,0,1,6,4
21,"18/5/2014","24/5/2014",0,0,6,3,6,20,3,4,1,20,0,2,31,94,3,11,8,0,7,0,0,0,5,2,3,2,0,3,5,11,0,1,10,5
22,"25/5/2014","31/5/2014",0,1,11,3,7,37,6,3,5,11,0,3,19,93,1,10,5,0,3,0,1,1,5,3,2,1,0,0,6,25,0,0,12,3
23,"1/6/2014","7/6/2014",0,1,13,3,3,35,1,2,4,5,1,3,30,105,2,13,14,1,8,0,5,0,4,4,3,0,1,3,13,20,0,0,17,6
24,"8/6/2014","14/6/2014",0,2,12,5,7,16,1,3,6,5,0,1,36,115,2,7,5,0,7,0,3,2,20,1,4,0,0,2,5,25,0,0,13,7
25,"15/6/2014","21/6/2014",1,4,21,10,9,26,3,6,2,3,1,4,28,95,2,12,8,0,9,0,3,1,23,5,4,0,1,3,15,40,1,1,24,7
26,"22/6/2014","28/6/2014",8,3,17,9,8,33,6,2,2,6,0,6,43,100,3,23,6,0,9,0,2,0,32,6,9,0,1,4,10,38,0,2,28,11
27,"29/6/2014","5/7/2014",4,20,14,16,17,37,5,7,5,5,0,4,70,90,0,19,8,0,22,1,3,1,41,5,6,0,0,2,4,31,0,1,26,8
28,"6/7/2014","12/7/2014",4,25,16,12,11,35,1,7,9,4,0,4,70,47,3,10,11,1,16,0,4,1,20,3,1,1,0,2,14,27,0,0,30,17
29,"13/7/2014","19/7/2014",1,25,18,8,11,33,5,4,13,3,0,5,76,51,2,24,7,0,15,0,3,3,7,2,5,0,2,1,7,22,0,1,8,12
30,"20/7/2014","26/7/2014",3,20,11,8,9,36,4,6,6,3,0,4,82,35,2,15,4,0,15,0,2,0,25,3,2,0,1,4,5,19,0,3,16,6
31,"27/7/2014","2/8/2014",0,8,15,10,12,38,4,5,5,5,1,6,67,37,2,11,10,0,7,1,5,0,10,3,7,0,0,4,7,24,0,0,11,5
